,Ano,Mês,Município,Produto,Unidade de Medida,Preço médio
351,2018,12,CABEDELO,GASOLINA COMUM,R$/l,4.23
352,2018,12,CABEDELO,GLP,R$/13Kg,70.0
353,2018,12,CABEDELO,GNV,R$/m3,3.739
354,2018,12,CABEDELO,ÓLEO DIESEL,R$/l,3.617
355,2018,12,CABEDELO,ÓLEO DIESEL S10,R$/l,3.665
356,2018,12,CABO DE SANTO AGOSTINHO,ETANOL HIDRATADO,R$/l,3.108
357,2018,12,CABO DE SANTO AGOSTINHO,GASOLINA COMUM,R$/l,4.268
358,2018,12,CABO DE SANTO AGOSTINHO,GLP,R$/13Kg,65.0
359,2018,12,CABO DE SANTO AGOSTINHO,ÓLEO DIESEL S10,R$/l,3.478
360,2018,12,CABO FRIO,ETANOL HIDRATADO,R$/l,3.765
361,2018,12,CABO FRIO,GASOLINA COMUM,R$/l,5.056
362,2018,12,CABO FRIO,GLP,R$/13Kg,61.0
363,2018,12,CABO FRIO,GNV,R$/m3,3.393
364,2018,12,CABO FRIO,ÓLEO DIESEL,R$/l,3.477
365,2018,12,CABO FRIO,ÓLEO DIESEL S10,R$/l,3.719
366,2018,12,CACADOR,ETANOL HIDRATADO,R$/l,3.454
367,2018,12,CACADOR,GASOLINA COMUM,R$/l,4.174
368,2018,12,CACADOR,GLP,R$/13Kg,77.0
369,2018,12,CACADOR,ÓLEO DIESEL,R$/l,3.398
370,2018,12,CACADOR,ÓLEO DIESEL S10,R$/l,3.488
371,2018,12,CACAPAVA,ETANOL HIDRATADO,R$/l,2.754
372,2018,12,CACAPAVA,GASOLINA COMUM,R$/l,4.097
373,2018,12,CACAPAVA,GLP,R$/13Kg,64.4
374,2018,12,CACAPAVA,GNV,R$/m3,2.299
375,2018,12,CACAPAVA,ÓLEO DIESEL,R$/l,3.424
376,2018,12,CACAPAVA,ÓLEO DIESEL S10,R$/l,3.344
377,2018,12,CACERES,ETANOL HIDRATADO,R$/l,2.874
378,2018,12,CACERES,GASOLINA COMUM,R$/l,4.535
379,2018,12,CACERES,GLP,R$/13Kg,81.625
380,2018,12,CACERES,ÓLEO DIESEL,R$/l,3.751
381,2018,12,CACERES,ÓLEO DIESEL S10,R$/l,3.883
382,2018,12,CACHOEIRA DO SUL,ETANOL HIDRATADO,R$/l,3.897
383,2018,12,CACHOEIRA DO SUL,GASOLINA COMUM,R$/l,4.569
384,2018,12,CACHOEIRA DO SUL,GLP,R$/13Kg,61.129
385,2018,12,CACHOEIRA DO SUL,ÓLEO DIESEL,R$/l,3.431
386,2018,12,CACHOEIRA DO SUL,ÓLEO DIESEL S10,R$/l,3.524
